year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80_84,F_85_89,F_90Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80_84,M_85_89,M_90Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80_84,T_85_89,T_90Plus
2022,MMR,Myanmar,MMR,Yangon,MMR013,Yangon (West),MMR013D004,638368,529379,1167751,30298,29077,31382,46050,66871,69266,61307,49262,44858,41455,40458,36903,30521,23503,16590,9906,5664,3344,1542,31786,29850,32222,46797,59513,58050,48525,39757,35785,32281,30210,26783,21036,15385,10249,5539,3143,1706,655,62090,58933,63611,92852,126390,127324,109838,89025,80647,73737,70675,63692,51564,38893,26845,15451,8814,5059,2204
2022,MMR,Myanmar,MMR,Mandalay,MMR010,Mandalay,MMR010D001,962070,899380,1861454,68770,64316,64337,81934,93248,89940,83640,75162,68955,62312,57009,48324,35450,27887,17666,11507,6224,3725,1600,71942,66151,71169,94126,101502,91127,78781,67960,59576,50643,44356,36067,25046,17660,11386,6277,3132,1763,648,140716,130472,135509,176065,194753,181071,162424,143125,128535,112958,101370,84395,60501,45551,29054,17789,9359,5494,2254
2022,MMR,Myanmar,MMR,Rakhine,MMR012,Kyaukpyu,MMR012D003,376166,335805,711973,33929,31656,29413,30485,27233,24175,24758,27990,24819,22697,22109,19300,17961,13464,12035,7019,4002,2107,982,34681,32874,29706,32905,29339,21564,19273,21911,20046,18121,17015,16153,14027,10602,8530,4717,2610,1248,444,68612,64532,59121,63391,56574,45742,44034,49903,44866,40820,39125,35454,31990,24069,20566,11739,6614,3356,1428
2022,MMR,Myanmar,MMR,Magway,MMR009,Thayet,MMR009D003,389267,348162,737431,26941,27453,27522,30304,28805,27895,29801,30062,28948,28063,26333,21806,17186,14015,10313,6424,4187,2236,914,27797,28052,28311,33342,29330,25005,24505,25302,24674,23810,21734,18087,13447,10141,6913,3861,2299,1102,392,54742,55507,55837,63649,58139,52904,54311,55367,53623,51876,48069,39898,30636,24160,17230,10290,6490,3341,1309
2022,MMR,Myanmar,MMR,Sagaing,MMR005,Monywa,MMR005D003,444605,369665,814273,29481,29785,30733,35612,36643,34736,33299,34191,31971,30548,26319,25212,21903,16523,12363,7533,4334,2408,980,30436,30178,31972,34170,32887,28181,26035,26536,25095,23571,20251,18553,15474,10998,7471,4286,2104,1066,368,59919,59964,62709,69783,69533,62920,59335,60730,57067,54120,46572,43766,37380,27522,19835,11819,6440,3474,1348
2022,MMR,Myanmar,MMR,Bago (East),MMR007,Bago,MMR007D001,943516,848689,1792210,81825,84186,83655,88227,76513,66549,63342,63720,62030,60077,53058,46730,38636,31979,20797,11252,5733,3617,1527,83360,85893,85097,90696,74229,58673,52398,53641,52199,49901,43703,37734,30430,24159,14162,6757,3130,1796,657,165188,170082,168757,178927,150745,125227,115745,117366,114233,109981,96764,84464,69069,56141,34965,18013,8868,5417,2190
2022,MMR,Myanmar,MMR,Sagaing,MMR005,Katha,MMR005D004,287121,274069,561191,28335,27883,26555,27030,23723,21211,19907,19673,18341,16339,15105,13413,10642,7483,5229,3263,1752,881,321,29347,28695,27280,29072,25633,21152,19231,19069,17450,14943,12737,10711,7793,4908,3111,1687,747,354,116,57683,56578,53837,56105,49356,42365,39139,38744,35793,31282,27844,24125,18436,12392,8344,4952,2501,1238,439
2022,MMR,Myanmar,MMR,Kayah,MMR002,Bawlake,MMR002D002,23466,27804,51272,2810,2526,2296,2373,2225,1984,1769,1621,1405,1185,999,733,599,403,246,148,65,36,15,2873,2673,2317,3000,3334,2890,2480,2180,1667,1323,1064,705,556,313,218,94,54,27,7,5684,5201,4616,5376,5561,4875,4251,3803,3073,2508,2065,1440,1156,717,466,243,121,63,24
2022,MMR,Myanmar,MMR,Kachin,MMR001,Bhamo,MMR001D003,214892,209418,424311,21297,20993,19627,19244,18061,17761,15682,14467,12688,11552,10933,9761,8285,5970,3967,2371,1346,602,250,21837,21664,19999,18221,15981,17961,18354,16396,13862,11950,10549,8410,6028,3853,2224,1220,561,238,71,43137,42658,39628,37467,34043,35724,34039,30865,26552,23504,21485,18174,14315,9826,6193,3591,1911,841,323
2022,MMR,Myanmar,MMR,Mon,MMR011,Thaton,MMR011D002,409660,370416,780079,33738,36368,38375,43507,33656,25277,22798,23915,25184,25731,24547,22064,18706,14389,9777,5920,3375,1605,692,34801,37528,39953,46374,33114,22846,19655,19872,20845,21014,19468,17035,13974,10327,6598,3638,1958,991,390,68541,73898,78328,89883,66772,48126,42456,43788,46029,46747,44016,39101,32683,24718,16377,9560,5335,2598,1084
2022,MMR,Myanmar,MMR,Ayeyarwady,MMR017,Pyapon,MMR017D006,528206,509468,1037676,50518,53118,50800,47404,38255,35848,36088,37810,35871,32050,27366,24559,21369,17325,10010,4764,2726,1658,634,51127,54075,51347,50420,40061,34854,33106,35411,33456,29917,25155,22952,18963,14698,7575,3209,1785,955,365,101647,107194,102149,97827,78317,70704,69197,73223,69328,61968,52522,47513,40334,32025,17586,7974,4513,2616,1002
2022,MMR,Myanmar,MMR,Tanintharyi,MMR006,Kawthoung,MMR006D003,114111,124357,238469,12935,12307,11365,11994,10583,8497,7703,7409,6935,6047,5431,4437,3360,2472,1278,704,347,193,93,12909,12510,11624,13667,11940,9386,8828,8788,8455,7577,6188,4652,3477,2351,1136,502,225,83,42,25844,24817,22990,25663,22525,17884,16533,16199,15392,13626,11620,9089,6839,4824,2414,1207,574,278,136
2022,MMR,Myanmar,MMR,Yangon,MMR013,Yangon (East),MMR013D002,1515038,1339382,2854432,100497,91449,89797,106809,130980,145558,142639,120690,110766,100197,93646,81986,68079,53533,36482,21294,11372,6551,2586,104059,94278,93521,114925,133048,135024,123199,104851,94978,80988,72027,59417,46989,35086,23191,12757,6466,3315,1134,204564,185737,183324,221742,264036,280590,265844,225549,205751,181192,165681,141408,115077,88626,59680,34057,17846,9872,3727
2022,MMR,Myanmar,MMR,Rakhine,MMR012,Maungdaw,MMR012D002,75570,79365,154935,8689,7983,6788,7962,7154,6202,5167,5228,4173,3710,3321,3062,2406,1568,866,543,391,233,105,9130,8189,7224,9052,9729,6502,4647,4751,4481,3917,3514,2918,2408,1407,660,390,211,138,77,17821,16174,14013,17015,16884,12704,9815,9979,8655,7628,6837,5982,4814,2975,1527,934,603,372,184
2022,MMR,Myanmar,MMR,Magway,MMR009,Magway,MMR009D001,677906,560107,1238015,50175,52939,54203,55644,47019,42963,46552,50528,50453,47373,42480,37761,32180,26140,18349,11470,6696,3468,1458,51153,53954,54328,55277,43265,33046,33222,37386,37415,35344,32223,28779,23027,17700,11795,6394,3368,1786,589,101331,106896,108532,110923,90287,76012,79778,87916,87873,82721,74707,66542,55209,43845,30147,17867,10067,5258,2050
